good_id,name,value
1027287506,Комплектация,"Миостимулятор для пресса, ног, тела, шеи, живота, рук, спины, поясницы (1 шт) с пультом управления (1шт) , гелевое основание (1 шт), USB-кабель (адаптер в комплект не входит!), ремни в подарок (2 шт)"
1964207726,Артикул,1964207726
1964207726,Тип,Миостимулятор
1964207726,Цвет,L/XL (талия 98 см)
1964207726,Зоны массажа,"Тело, Поясница, Спина, Ягодицы"
1964207726,"Максимальный рост пользователя, см",215
1964207726,Материал корпуса,"ABS пластик, Текстиль"
1964207726,Количество программ/режимов,6
1964207726,Вид питания,"Встроенный аккумулятор, От порта USB"
1964207726,"Мощность массажера, Вт",30
1964207726,"Фактический размер товара, см",98
1964207726,Упаковка,Картонная коробка
1964207726,Страна-изготовитель,Китай (Тайвань)
1964207726,Гарантийный срок,1 год
1964207726,"Вид массажа
","Вибрационный, Миостимулирующий, Расслабляющий, Антицеллюлитный, Импульсный, Лимфодренажный"
1964207726,Особенности массажного аппарата,"Регулировка по размеру, Работает в автомобиле, Таймер, Ручные программы, Русификация, Съемные части"
1964207726,Комплектация,EMS - тренажер для пресса (пояс) - 1шт; Рацион питания для похудения на 2000 ккал; Инструкция на русском языке; Индикатор - 1 шт; Зарядное устройство (USB - Charging кабель) - 1 шт; Опрыскиватель массажера (распылитель) - 1шт;
2176102014,Артикул,2176102014
2176102014,Тип,Миостимулятор
2176102014,Цвет,Черный глянцевый с 2 сменными основаниями
2176102014,Зоны массажа,"Ноги, Плечи, Поясница, Спина, Тело, Ягодицы"
2176102014,Материал корпуса,ABS пластик
2176102014,Количество программ/режимов,6
2176102014,Вид питания,От порта USB
2176102014,"Мощность массажера, Вт",5
2176102014,"Напряжение, В",120
2176102014,"Фактический размер товара, см",23*16*6
2176102014,Упаковка,"Картонная коробка, Конверт"
2176102014,Страна-изготовитель,Китай
2176102014,Гарантийный срок,6 месяцев
2176102014,"Вид массажа
","Вибрационный, Импульсный, Комбинированный, Миостимулирующий, Разминание, Расслабляющий"
2176102014,Особенности массажного аппарата,"Подогрев, Пульт ДУ, Регулировка по размеру, Русификация, Работает в автомобиле, Ручные программы"
2176102014,Комплектация,"Миостимулятор для пресса , ног, тела, шеи, живота, рук, спины, поясницы (1 шт) с пультом управления (1шт) , сменное основание (2 шт), USB-кабель (адаптер в комплект не входит!), ремни в подарок (2 шт)"
1680423616,Артикул,1680423616
1680423616,Тип,Миостимулятор
1680423616,Цвет,16 режимов
1680423616,Вид массажа,"Импульсный, Миостимулирующий"
1680423616,Зоны массажа,"Спина, Тело, Руки, Поясница, Ноги, Плечи"
1680423616,Особенности массажного аппарата,"Ручные программы, Таймер"
1680423616,Материал корпуса,ABS пластик
1680423616,Количество программ/режимов,16
1680423616,Вид питания,"Встроенный аккумулятор, От порта USB"
1680423616,"Мощность массажера, Вт",0.075
1680423616,"Фактический размер товара, см",10х5
1680423616,Упаковка,"Воздушно-пузырчатая пленка, Картонная коробка"
1680423616,Страна-изготовитель,Китай
1680423616,Гарантийный срок,180 дней
1680423616,Комплектация,Универсальный импульсный миостимулятор с током; Инструкция на русском языке; 8 электродов; провод USB; коробка;
1474493240,Артикул,1474493240
1474493240,Тип,Миостимулятор
1474493240,Цвет,24 режима
1474493240,Вид массажа,Миостимулирующий
1474493240,Зоны массажа,"Тело, Плечи"
1474493240,Особенности массажного аппарата,Таймер
1474493240,Материал корпуса,ABS пластик
1474493240,Количество программ/режимов,24
1474493240,Вид питания,Встроенный аккумулятор
1474493240,"Мощность массажера, Вт",0.025
1474493240,"Фактический размер товара, см",12х6
1474493240,Упаковка,"Easy pack, Картонная коробка"
1474493240,Страна-изготовитель,Китай
1474493240,Гарантийный срок,180 дней
1474493240,Комплектация,Миостимулятор-1шт; инструкция на русском языке-1шт; провод USB-1шт; шнур для электродов-2шт; мягкие подушечки-электроды- 20 шт.
945844796,Артикул,945844796
945844796,Тип,Миостимулятор
945844796,Цвет,Белый
945844796,Зоны массажа,"Плечи, Поясница, Руки, Спина, Тело"
945844796,Особенности массажного аппарата,"Таймер, Ручные программы, Съемные части"
945844796,Материал корпуса,ABS пластик
945844796,Количество программ/режимов,24
945844796,Вид питания,"Сменная батарея, От сети 220В"
945844796,"Мощность массажера, Вт",6
945844796,"Фактический размер товара, см",15
945844796,Упаковка,Картонная коробка
945844796,Страна-изготовитель,Китай
945844796,Гарантийный срок,12 месяцев
945844796,"Вид массажа
","Импульсный, Лечебный, Миостимулирующий, Оздоровительный, Расслабляющий, Лимфодренажный"
945844796,Комплектация,"Электронный блок управления (ЭБУ) - 1 шт. Гелиевые пластины - 4 шт. Провод к гелиевым пластинам - 2 шт. Сетевой адаптер - 1 шт. Инфракрасный излучатель - 1 шт. Элемент питания 1,5 V типа ААА - 3 шт."
262066450,Артикул,262066450
262066450,Тип,Миостимулятор
262066450,Цвет,EMS-350
262066450,Зоны массажа,"Поясница, Ягодицы, Тело, Ноги, Плечи, Руки"
262066450,Особенности массажного аппарата,"Ручные программы, Таймер"
262066450,Материал корпуса,ABS пластик
262066450,Количество программ/режимов,12
262066450,Вид питания,От сети 220В
262066450,"Мощность массажера, Вт",0.2
262066450,"Напряжение, В",80
262066450,"Фактический размер товара, см","12,2 х 6,5 х 1,2"
262066450,Упаковка,Картонная коробка
262066450,Страна-изготовитель,Китай
262066450,Гарантийный срок,3 года
262066450,"Вид массажа
","Миостимулирующий, Акупунктурный, Антицеллюлитный, Гуаша, Классический, Комбинированный"
262066450,Комплектация,"Массажер, самоклеящиеся электроды (8 шт.), соединительные провода (4 шт.), блок питания, USB-кабель, инструкция"
150341662,Артикул,150341662
150341662,Тип,Миостимулятор
150341662,Цвет,Белый
150341662,Зоны массажа,Лицо
150341662,Материал корпуса,ABS пластик
150341662,Количество программ/режимов,4
150341662,Вид питания,"От сети 220В, Сменная батарея"
150341662,Страна-изготовитель,Китай
150341662,Гарантийный срок,1 год
150341662,Комплектация,"миостимулятор, сетевой адаптер, 2 пары электродов, 1 провод для подключения электродов, инструкция на русском языке, батарейка 9В, лоток для размещения электродов, гарантийный талон, гарантия - 1 год."
1567457720,Артикул,1567457720
1567457720,Тип,Миостимулятор
1567457720,Цвет,В обуви
1567457720,Вид массажа,Миостимулирующий
1567457720,Зоны массажа,"Ноги, Поясница, Руки, Ягодицы, Тело"
1567457720,Особенности массажного аппарата,"Работает в автомобиле, Ручные программы"
1567457720,Материал корпуса,ABS пластик
1567457720,Количество программ/режимов,9
1567457720,Вид питания,Сменный аккумулятор
1567457720,"Напряжение, В",5
1567457720,Упаковка,Картонная коробка
1567457720,Страна-изготовитель,Китай
1567457720,Гарантийный срок,30 дней
1567457720,Комплектация,Массажер*1/ Блок питания*1/ Пластырь*8/ Руководство*1/Обувь*1/ Перчатки*1
478107761,Артикул,478107761
478107761,Тип,Миостимулятор
478107761,Цвет,Красный Duo
478107761,Вид массажа,Миостимулирующий
478107761,Зоны массажа,"Ноги, Плечи, Поясница, Руки, Спина, Ягодицы"
478107761,Особенности массажного аппарата,"Съемные части, Русификация"
478107761,Материал корпуса,ABS пластик
478107761,Вид питания,"Внешний источник питания, От сети 220В"
478107761,Упаковка,Кейс пластиковый
478107761,Страна-изготовитель,Китай
478107761,Гарантийный срок,1 год
478107761,"Фактический размер товара, см","- Размер устройства 60,4 мм х 43,5 мм х 13,6 мм - Размер прямоугольного электрода 9 см х 5см - Размер круглого электрода 5,5 см (2,1 дюйм) - Вес устройства 25 г"
478107761,Комплектация,- 2 модуля PowerDot - 2 комплекта электродов - 2 комплекта соединительных кабелей для электродов - 2 зарядных кабеля Micro USB - Защитный чехол для переноски - Мобильное приложение PowerDot на русском языке
2199342107,Артикул,2199342107
2199342107,Тип,Миостимулятор
2199342107,Цвет,Черно-синий
2199342107,Зоны массажа,"Ноги, Поясница, Руки, Спина"
2199342107,Особенности массажного аппарата,Ручные программы
2199342107,Материал корпуса,ABS пластик
2199342107,Количество программ/режимов,8
2199342107,Вид питания,Встроенный аккумулятор
2199342107,"Мощность массажера, Вт",0.6
2199342107,"Фактический размер товара, см","13х5,5х3"
2199342107,Упаковка,Картонная коробка
2199342107,Страна-изготовитель,Китай
2199342107,Гарантийный срок,30 дней
2199342107,"Вид массажа
","Акупунктурный, Импульсный, Лимфодренажный, Миостимулирующий, Расслабляющий"
2199342107,Комплектация,"Миостимулятор 2шт, гидрогелевая пластина бабочка 4 шт, зарядный кабель"
1653727368,Артикул,1653727368
1653727368,Тип,Миостимулятор
1653727368,Цвет,Черный
1653727368,Зоны массажа,"Ноги, Поясница, Руки, Спина, Тело, Ягодицы"
1653727368,Особенности массажного аппарата,"Таймер, Ручные программы"
1653727368,Материал корпуса,ABS пластик
1653727368,Количество программ/режимов,36
1653727368,Вид питания,Встроенный аккумулятор
1653727368,"Мощность массажера, Вт",0.075
1653727368,"Фактический размер товара, см",12
1653727368,Упаковка,Коробка
1653727368,Страна-изготовитель,Китай
1653727368,Гарантийный срок,180 дней
1653727368,"Вид массажа
","Антицеллюлитный, Импульсный, Лимфодренажный, Миостимулирующий"
1653727368,Комплектация,"массажер миостимулятор - 1 шт, насадки аппликаторы электроды - 10 шт, кабель для электрода - 2 шт, зарядный кабель - 1 шт, блок питания - 1 шт, инструкция - 1 шт, коробка - 1 шт."
227792910,Артикул,227792910
227792910,Тип,Миостимулятор
227792910,Цвет,Черно-серый
227792910,Зоны массажа,"Тело, Ноги, Плечи, Шея, Поясница, Руки"
227792910,Особенности массажного аппарата,"Работает в автомобиле, Ручные программы, Таймер"
227792910,Материал корпуса,Алюминий
227792910,Количество программ/режимов,24
227792910,Вид питания,Встроенный аккумулятор
227792910,"Напряжение, В",9
227792910,"Фактический размер товара, см",12х6х1
227792910,Упаковка,Картонная коробка
227792910,Страна-изготовитель,Китай
227792910,Гарантийный срок,12
227792910,"Вид массажа
","Миостимулирующий, Акупунктурный, Антицеллюлитный, Импульсный, Оздоровительный, Перкусионный"
227792910,Комплектация,массажер ОРИОН- 1 шт электронный блок/модуль управления - 1 шт электродный шнур - 3 шт электродные пластины - 6 шт зарядное устройство - 1 шт стилус - 1 шт клипсы-электроды - 1 шт
2149287655,Артикул,2149287655
2149287655,Тип,Миостимулятор
2149287655,Цвет,Светло-синий
2149287655,Зоны массажа,"Спина, Поясница, Руки, Плечи"
1790456472,Артикул,1790456472
1790456472,Тип,Миостимулятор
1790456472,Цвет,Черный
1790456472,Зоны массажа,"Голова, Руки, Тело, Шея, Ноги, Плечи"
1790456472,Особенности массажного аппарата,"Ручные программы, Таймер, Съемные части"
1790456472,Материал корпуса,"Металл, ABS пластик"
1790456472,Количество программ/режимов,36
1790456472,Вид питания,"От порта USB, Встроенный аккумулятор"
1790456472,"Напряжение, В",5
1790456472,"Фактический размер товара, см",5.3X9.5
1790456472,Упаковка,Картонная коробка
1790456472,Страна-изготовитель,Китай
1790456472,"Вид массажа
","Миостимулирующий, Рефлекторный, Акупрессурный, Вибрационный, Лечебный"
1790456472,Комплектация,1 * Электротерапевтический массажер (хозяин) 4 пар* электродных накладок 2 * 2 электродных провода 1 * USB-кабель 1 * Крепежная пластина вкладыша 1 * Руководство пользователя 1 * Карта акупунктурных точек 1 * Цветная коробка 1*инструкция на русском языке
1756744167,Артикул,1756744167
1756744167,Тип,Миостимулятор
1756744167,Цвет,Оригинальный медицинский прибор
1756744167,Зоны массажа,"Ноги, Плечи, Поясница, Руки, Тело, Шея"
1756744167,Особенности массажного аппарата,"Работает в автомобиле, Ручные программы, Таймер"
1756744167,Материал корпуса,Металл
1756744167,Количество программ/режимов,24
1756744167,Вид питания,Встроенный аккумулятор
1756744167,"Напряжение, В",9
1756744167,"Фактический размер товара, см",12х6х1
1756744167,Упаковка,Картонная коробка
1756744167,Страна-изготовитель,Китай
1756744167,Гарантийный срок,12 месяцев
1756744167,"Вид массажа
","Миостимулирующий, Акупунктурный, Антицеллюлитный, Импульсный, Оздоровительный"
1756744167,Комплектация,Аппарат -1 шт Электроды тип 1 (силиконовая основа) – 4 шт Электроды тип 2 (хлопковая основа) – 4 шт. Шнур-кабель для подключения электродов – 4 шт. Провод USB – 1шт. Адаптер – 1 шт. Чехол для хранения и транспортировки – 1шт. Руководство по эксплуатации – 1 шт.
2028564403,Артикул,2028564403
2028564403,Тип,Миостимулятор
2028564403,Цвет,Синий
2028564403,Зоны массажа,Плечи
2028564403,Особенности массажного аппарата,Пульт ДУ
2028564403,Материал корпуса,ABS пластик
2028564403,Количество программ/режимов,8
2028564403,Вид питания,От порта USB
2028564403,"Напряжение, В",3.3
2028564403,Упаковка,Slim Case
2028564403,Страна-изготовитель,Китай
2028564403,Гарантийный срок,6 месяцев
1970004131,Артикул,1970004131
1970004131,Тип,Миостимулятор
1970004131,Цвет,Черный
1970004131,Зоны массажа,"Поясница, Спина, Ягодицы, Тело"
1970004131,Особенности массажного аппарата,Регулировка по размеру
1970004131,"Максимальный рост пользователя, см",190
1970004131,Материал корпуса,"ABS пластик, Текстиль"
1970004131,Количество программ/режимов,19
1970004131,Вид питания,"Встроенный аккумулятор, От порта USB"
1970004131,"Мощность массажера, Вт",30
1970004131,"Напряжение, В",3.3
1970004131,"Фактический размер товара, см",26 х 16 х 5
1970004131,Упаковка,Картонная коробка
1970004131,Страна-изготовитель,Китай
1970004131,"Вид массажа
","Вибрационный, Антицеллюлитный, Лимфодренажный, Импульсный, Миостимулирующий, Разминание"
1970004131,Комплектация,EMS - тренажер для пресса (пояс) - 1шт; Инструкция на английском языке - 1 шт; Индикатор - 1 шт; Шнур USB - 1 шт.
2154018755,Артикул,2154018755
2154018755,Тип,Миостимулятор
2154018755,Цвет,Черный
2154018755,Вид массажа,Миостимулирующий
2154018755,Зоны массажа,"Ягодицы, Тело, Спина, Руки, Поясница, Плечи"
2154018755,Особенности массажного аппарата,Таймер
2154018755,Материал корпуса,ABS пластик
2154018755,Количество программ/режимов,36
2154018755,Вид питания,Встроенный аккумулятор
2154018755,"Мощность массажера, Вт",0.025
2154018755,"Фактический размер товара, см",12x6
2154018755,Упаковка,"Easy pack, Картонная коробка"
2154018755,Страна-изготовитель,Китай
2154018755,Гарантийный срок,1
1710459333,Артикул,1710459333
1710459333,Тип,Миостимулятор
1710459333,Цвет,Пластырь
1710459333,Вид массажа,"Импульсный, Миостимулирующий, Оздоровительный, Расслабляющий"
1710459333,Зоны массажа,"Шея, Тело, Спина, Руки, Ноги"
1710459333,Материал корпуса,Полирезин
1710459333,Упаковка,Пакет
1710459333,Комплектация,Пластырь*1
1710459333,Страна-изготовитель,Китай
1710459333,Гарантийный срок,30 дней
2052046798,Артикул,2052046798
2052046798,Тип,Миостимулятор
2052046798,Цвет,Черно-синий
2052046798,Зоны массажа,"Поясница, Тело, Руки, Спина, Ягодицы"
2196585793,Артикул,2196585793
2196585793,Тип,Миостимулятор
2196585793,Цвет,2XL (обхват талии до 125 см)
2196585793,Зоны массажа,"Поясница, Спина"
2196585793,"Максимальный рост пользователя, см",190
2196585793,Материал корпуса,"ABS пластик, Текстиль"
2196585793,Количество программ/режимов,19
2196585793,Вид питания,"Встроенный аккумулятор, От порта USB"
2196585793,"Мощность массажера, Вт",30
2196585793,"Напряжение, В",3.3
2196585793,"Фактический размер товара, см",26*16*5
2196585793,Упаковка,"Картонная коробка, Зип-пакет"
2196585793,Страна-изготовитель,Китай
2196585793,Гарантийный срок,14
2196585793,"Вид массажа
","Вибрационный, Миостимулирующий, Антицеллюлитный, Импульсный, Лимфодренажный, Разминание"
2196585793,Особенности массажного аппарата,"Регулировка по размеру, Работает в автомобиле, Съемные части, Таймер, Ручные программы"
2196585793,Комплектация,EMS - тренажер для пресса (пояс) - 1шт; Инструкция на английском языке; Индикатор - 1 шт; Зарядное устройство (USB - Charging кабель) - 1 шт; Картонная коробка; Зип пакет;
1621633247,Артикул,1621633247
1621633247,Тип,Миостимулятор
1621633247,Цвет,36 режимов
1621633247,Вид массажа,Миостимулирующий
1621633247,Зоны массажа,"Руки, Тело"
1621633247,Особенности массажного аппарата,Русификация
1621633247,Материал корпуса,ABS пластик
1621633247,Количество программ/режимов,36
1621633247,Вид питания,"Встроенный аккумулятор, От порта USB"
1621633247,"Мощность массажера, Вт",0.075
1621633247,"Фактический размер товара, см",12х6
1621633247,Страна-изготовитель,Китай
1621633247,Гарантийный срок,365 дней
1621633247,Комплектация,Миостимулятор-1шт; инструкция на русском языке-1шт; провод USB-1шт; шнур для электродов-2шт; мягкие подушечки-электроды-20шт.
232248055,Артикул,232248055
232248055,Тип,Миостимулятор
232248055,Цвет,EMS-200
232248055,Зоны массажа,"Поясница, Ягодицы, Тело, Зона декольте, Плечи, Руки"
232248055,Особенности массажного аппарата,"Работает в автомобиле, Ручные программы, Таймер"
232248055,"Максимальный рост пользователя, см",195
232248055,Материал корпуса,ABS пластик
232248055,Количество программ/режимов,10
232248055,Вид питания,"От порта USB, Сменная батарея"
232248055,"Мощность массажера, Вт",50
232248055,"Напряжение, В",5
232248055,"Фактический размер товара, см","20 х 6 х 1,5"
232248055,Страна-изготовитель,Китай
232248055,Гарантийный срок,3 года
232248055,"Вид массажа
","Миостимулирующий, Акупунктурный, Антицеллюлитный, Гуаша, Классический, Комбинированный"
232248055,Комплектация,"миостимулятор, 8 электродов, 4 соединительных провода, USB-кабель, инструкция"
944909943,Артикул,944909943
944909943,Тип,Миостимулятор
944909943,Цвет,Миостимулятор JR-309A
944909943,Зоны массажа,"Руки, Тело, Ноги, Плечи, Ягодицы, Поясница"
944909943,Особенности массажного аппарата,"Русификация, Ручные программы, Таймер"
944909943,Материал корпуса,Пластик
944909943,Количество программ/режимов,8
944909943,Вид питания,"От сети 220В, Сменная батарея"
944909943,"Напряжение, В",4.5
944909943,Упаковка,Картонная коробка
944909943,Страна-изготовитель,Китай
944909943,Гарантийный срок,12
944909943,"Вид массажа
","Антицеллюлитный, Импульсный, Оздоровительный, Миостимулирующий, Шиацу, Классический"
944909943,Комплектация,Терапевтические тапочки - 1 шт.; Электроды (патчи) - 4 шт.; Подставка для патчей - 2 шт.; Шнуры электоды - 2 шт (на 2 и 4 контакта).; Блок питания; Шнур питания; Инструкция на русском языке; Схема биологически активных точек на теле (на Английском языке); Аппарат (Русифицированный);
2059797161,Артикул,2059797161
2059797161,Тип,Миостимулятор
2059797161,Цвет,Серый металлик
2059797161,Зоны массажа,"Ягодицы, Спина, Руки, Плечи, Поясница, Ноги"
2059797161,Особенности массажного аппарата,"Ручные программы, Таймер, Работает в автомобиле"
2059797161,Материал корпуса,"ABS пластик, Металл"
2059797161,Количество программ/режимов,24
2059797161,Вид питания,"Встроенный аккумулятор, От порта USB"
2059797161,"Мощность массажера, Вт",240
2059797161,"Напряжение, В",4.3
2059797161,"Фактический размер товара, см","12,5 см*6,5см*1,1см"
2059797161,Упаковка,"Подарочная коробка, Картонная коробка"
2059797161,Страна-изготовитель,Китай
2059797161,Гарантийный срок,1 год
2059797161,"Вид массажа
","Акупунктурный, Лимфодренажный, Расслабляющий, Перкусионный, Шиацу"
2059797161,Комплектация,"Основной блок - 1 шт. Стилус, Электроды 50*50 мм - 6 пар, Электроды 50*100 мм - 2 пары, Соединительный провод - 4 шт. USB-кабель - 1 шт. Адаптер питания - 1 шт. Мешочек для хранения - 1 шт. Руководство пользователя - 1 шт."
2037254366,Артикул,2037254366
2037254366,Тип,Миостимулятор
2037254366,Бренд,FAFY
2037254366,Цвет,"Черный, серебристый"
2037254366,Вид массажа,Лечебный
2037254366,Зоны массажа,"Зона декольте, Лицо, Ноги, Плечи, Поясница, Руки"
2037254366,Особенности массажного аппарата,"Ручные программы, Русификация"
2037254366,Материал корпуса,ABS пластик
2037254366,Количество программ/режимов,36
2037254366,Вид питания,"Встроенный аккумулятор, От порта USB"
2037254366,"Мощность массажера, Вт",0.075
2037254366,"Фактический размер товара, см",12х6
2037254366,Упаковка,Easy pack
2037254366,Страна-изготовитель,Беларусь
2037254366,Гарантийный срок,60
2037254366,Комплектация,Миостимулятор-1шт; зарядный блок-1шт; провод USB-1шт; шнур для электродов-2шт; мягкие подушечки-электроды-8шт.
1928422336,Артикул,1928422336
1928422336,Тип,Миостимулятор
1928422336,Цвет,Мио-ЛОР
1928422336,Зоны массажа,"Ноги, Плечи, Руки, Тело, Спина, Ягодицы"
1928422336,Особенности массажного аппарата,"Ручные программы, Таймер, Съемные части"
1928422336,Материал корпуса,ABS пластик
1928422336,Количество программ/режимов,30
1928422336,Вид питания,Встроенный аккумулятор
1928422336,"Напряжение, В",5
1928422336,"Фактический размер товара, см","2,1*9,5*1,3"
1928422336,Упаковка,Картонная коробка
1928422336,Страна-изготовитель,Китай
1928422336,Гарантийный срок,1 год
1928422336,"Вид массажа
","Антицеллюлитный, Импульсный, Миостимулирующий, Расслабляющий, Оздоровительный"
1928422336,Комплектация,Миостимулятор - 1 шт. Кабель ЛОР - 1 шт. Электроды - 12 шт. Провод для электродов - 2 шт. Кабель для зарядки - 1 шт. Инструкция
1732509816,Артикул,1732509816
1732509816,Тип,Миостимулятор
1732509816,Цвет,Белый
1732509816,Вид массажа,Миостимулирующий
1732509816,Зоны массажа,Тело
1732509816,Особенности массажного аппарата,Ручные программы
1732509816,Материал корпуса,Силикон
1732509816,Количество программ/режимов,3
1732509816,Вид питания,Встроенный аккумулятор
1732509816,"Мощность массажера, Вт",5
1732509816,"Напряжение, В",3.7
1732509816,Упаковка,Картонная коробка
1732509816,Страна-изготовитель,Китай
1732509816,Комплектация,1 * Упаковочная коробка 1 * Руководство пользователя 1*Хост 1 * Кабель для зарядки
1970486550,Артикул,1970486550
1970486550,Тип,Миостимулятор
1970486550,Цвет,Бронза
1970486550,Вид массажа,"Акупунктурный, Вибрационный, Импульсный, Миостимулирующий"
1970486550,Зоны массажа,"Зона декольте, Ноги, Плечи, Поясница, Руки, Тело"
1970486550,Особенности массажного аппарата,Ручные программы
1970486550,Материал корпуса,ABS пластик
1970486550,Количество программ/режимов,8
1970486550,Вид питания,От порта USB
1970486550,"Напряжение, В",5
1970486550,"Фактический размер товара, см",6
1970486550,Упаковка,Easy pack
1970486550,Комплектация,10 массажных пластыря
1970486550,Страна-изготовитель,Китай
2179948680,Артикул,2179948680
2179948680,Тип,Миостимулятор
2179948680,Цвет,Пояс-миостимулятор для пресса
2179948680,Вид массажа,Импульсный
2179948680,Зоны массажа,"Тело, Поясница"
2179948680,Особенности массажного аппарата,Регулировка по размеру
2179948680,Материал корпуса,ABS пластик
2179948680,Количество программ/режимов,6
2179948680,Вид питания,От порта USB
2179948680,"Напряжение, В",5
2179948680,"Фактический размер товара, см",108
2179948680,Упаковка,Картонная коробка
2179948680,Страна-изготовитель,Китай
2179948680,Гарантийный срок,6 месяцев
2179948680,Комплектация,"Пояс размер 108*12см, удлинитель 40см, миостимулятор, провод для USB-зарядки, инструкция, картонная коробка"
2167501113,Артикул,2167501113
2167501113,Тип,Миостимулятор
2167501113,Цвет,Черный матовый
2167501113,Вид массажа,"Лимфодренажный, Миостимулирующий"
2167501113,Зоны массажа,"Плечи, Шея, Поясница, Ноги, Ягодицы, Тело"
2167501113,Особенности массажного аппарата,Съемные части
2167501113,"Максимальный рост пользователя, см",250
2167501113,Материал корпуса,ABS пластик
2167501113,Количество программ/режимов,4
2167501113,Вид питания,Встроенный аккумулятор
2167501113,"Напряжение, В",3.7
2167501113,"Фактический размер товара, см",5.3*3.6*2
2167501113,Комплектация,"Часы, массажный шнур, руководство по эксплуатации"
2167501113,Страна-изготовитель,Китай
1423369110,Артикул,1423369110
1423369110,Тип,Миостимулятор
1423369110,Бренд,Beurer
1423369110,Цвет,"Черный, серый"
1423369110,Вид массажа,Миостимулирующий
1423369110,Зоны массажа,"Поясница, Ноги, Руки"
1423369110,Материал корпуса,ABS пластик
1423369110,Количество программ/режимов,40
1423369110,Комплектация,Миостимулятор Beurer EM 95
1423369110,Страна-изготовитель,Германия
1423369110,Гарантийный срок,12
170838627,Артикул,170838627
170838627,Тип,Миостимулятор
170838627,Зоны массажа,"Ноги, Тело, Ягодицы"
170838627,Особенности массажного аппарата,"Работает в автомобиле, Таймер"
170838627,"Максимальный рост пользователя, см",220
170838627,Материал корпуса,ABS пластик
170838627,Количество программ/режимов,4
170838627,Вид питания,Встроенный аккумулятор
170838627,"Напряжение, В",5
170838627,"Фактический размер товара, см",9 х 10
170838627,Страна-изготовитель,Китай (Тайвань)
170838627,Гарантийный срок,2 года
170838627,"Вид массажа
","Антицеллюлитный, Вибрационный, Комбинированный, Лимфодренажный, Миостимулирующий"
170838627,Комплектация,Прибор для ухода и массажа тела BioSonic 1140 Поставка для зарядки и хранения Защитные очки Зарядное устройство со шнуром питания Руководство по эксплуатации
324680866,Артикул,324680866
324680866,Тип,Миостимулятор
324680866,Цвет,Серый
324680866,Зоны массажа,"Тело, Ноги, Плечи, Поясница, Спина, Шея"
324680866,Особенности массажного аппарата,"Пульт ДУ, Ручные программы, Русификация, Таймер"
324680866,"Максимальный рост пользователя, см",220
324680866,Материал корпуса,ABS пластик
324680866,Количество программ/режимов,8
324680866,Вид питания,"Сменная батарея, От сети 220В"
324680866,"Мощность массажера, Вт",4.5
324680866,"Напряжение, В",5
324680866,"Фактический размер товара, см","15,5"
324680866,Упаковка,Коробка
324680866,Страна-изготовитель,Китай
324680866,Гарантийный срок,6 месяцев
324680866,"Вид массажа
","Импульсный, Лимфодренажный, Миостимулирующий, Оздоровительный, Вибрационный, Антицеллюлитный"
324680866,Комплектация,"Массажёр миостимулятор Меридиан , клейкие электроды 4шт, USB кабель, инструкция, 3 батарейки, кабели для электродов, инструкция"
1195170258,Артикул,1195170258
1195170258,Тип,Миостимулятор
1195170258,Цвет,Серебро
1195170258,Зоны массажа,"Тело, Ноги, Плечи, Поясница, Шея, Руки"
1195170258,Особенности массажного аппарата,"Ручные программы, Таймер"
1195170258,Материал корпуса,"ABS пластик, Алюминий"
